References	Qty	Description	Part Number	Manufacturer	Mouser	Digikey
R1	1	22K 1206	RC1206FR-0722KL	Yageo	603-RC1206FR-0722KL	311-22.0KFRCT-ND
R2	1	22K 1206	RC1206FR-0722KL	Yageo	603-RC1206FR-0722KL	311-22.0KFRCT-ND
R3	1	1K 1206	RC1206FR-071KL	Yageo	603-RC1206FR-071KL	311-1.00KFRCT-ND
R4	1	100 1206	RC1206FR-07100RL	Yageo	603-RC1206FR-07100RL	311-100FRCT-ND
R5	1	4.7K 1206	RC1206FR-074K7L	Yageo	603-RC1206FR-074K7L	311-4.70KFRCT-ND
C1	1	10nF 1206	C1206C103K5RACTU	KEMET	80-C1206C103K5R	399-1234-1-ND
C2	1	100nF 1206	C1206C104K5RACTU	KEMET	80-C1206C104K5R	399-1249-2-ND
LED	1	TOP-led	AA3528SURSK	Kingbright	604-AA3528SURSK	754-1537-1-ND
NEO	1	SK6812 LED	SK6812			1528-1104-ND
ICS1	1	8Pin-DIL-Socket	DILB8P-223TLF	Amphenol FCI	649-DILB8P223TLF	609-4717-ND
IC1	1	Attiny85	ATtiny85-20SU	Microchip Technology / Atmel	556-ATTINY85-20SU	ATTINY85-20SURCT-ND
B1	1	Button	95C04A3GWRT	Grayhill	706-95C04A3GWRT	GH7643CT-ND
Buz	1	Buzzer/speaker	PS1550L40N	TDK	810-PS1550L40N	445-172991-ND
Jack	1	Mini-Jack female 3.5mm	SJ1-3525N	CUI	490-SJ1-3525N	CP1-3525N-ND
Sensor	1	Temperature Sensor	DS18B20+	Maxim Integrated	700-DS18B20+	DS18B20-ND
